Stock Code,Stock Name,Current Value,Change,Percentage Change,Market Cap,Industry,Day High,Day Low,Month High/Low
531223,Anjani Synthetics Ltd.-$,31.35,0.66,2.15,31.49,30.69,,,X  /
531673,Anka India Ltd.,14.20,0.30,2.16,14.20,14.20,,,XT /
531673,Anka India Ltd.,14.20,0.30,2.16,14.20,14.20,,,XT /
532870,Ankit Metal & Power Ltd.,3.74,0.17,4.76,3.74,3.74,,,B  /
532870,Ankit Metal & Power Ltd.,3.74,0.17,4.76,3.74,3.74,,,B  /
531406,Ans Industries Ltd,6.41,0.30,4.91,6.41,5.81,,,XT /
531406,Ans Industries Ltd,6.41,0.30,4.91,6.41,5.81,,,XT /
523007,Ansal Buildwell Ltd.-$,80.41,0.81,1.02,85.00,80.41,,,X  /
523007,Ansal Buildwell Ltd.-$,80.41,0.81,1.02,85.00,80.41,,,X  /
507828,Ansal Housing & Construction Ltd.-$,5.30,0.18,3.52,5.38,5.12,,,X  /
507828,Ansal Housing & Construction Ltd.-$,5.30,0.18,3.52,5.38,5.12,,,X  /
500013,Ansal Properties & Infrastructure Ltd.,9.70,0.05,0.52,9.80,9.50,,,T  /
500013,Ansal Properties & Infrastructure Ltd.,9.70,0.05,0.52,9.80,9.50,,,T  /
538833,Anubhav Infrastructure Ltd,11.55,0.22,1.94,11.55,11.55,,,XT /
538833,Anubhav Infrastructure Ltd,11.55,0.22,1.94,11.55,11.55,,,XT /
506260,Anuh Pharma Ltd.,134.25,-0.90,-0.67,136.00,134.25,,,X  / S&P BSE SmallCap
506260,Anuh Pharma Ltd.,134.25,-0.90,-0.67,136.00,134.25,,,X  / S&P BSE SmallCap
532259,Apar Industries Ltd.,4919.90,-19.90,-0.40,4944.25,4891.45,,,A  / S&P BSE 500
532259,Apar Industries Ltd.,4919.90,-19.90,-0.40,4944.25,4891.45,,,A  / S&P BSE 500
523694,Apcotex Industries Ltd.,533.70,-6.55,-1.21,540.60,527.45,,,A  / S&P BSE SmallCap
523694,Apcotex Industries Ltd.,533.70,-6.55,-1.21,540.60,527.45,,,A  / S&P BSE SmallCap
533758,Apl Apollo Tubes Ltd.,1750.05,-43.65,-2.43,1806.20,1746.55,,,A  / S&P BSE 200
533758,Apl Apollo Tubes Ltd.,1750.05,-43.65,-2.43,1806.20,1746.55,,,A  / S&P BSE 200
517096,Aplab Ltd.-$,62.50,-0.73,-1.15,62.50,61.00,,,XT /
517096,Aplab Ltd.-$,62.50,-0.73,-1.15,62.50,61.00,,,XT /
523537,Apm Industries Ltd.-$,53.05,0.65,1.24,54.90,52.53,,,X  /
523537,Apm Industries Ltd.-$,53.05,0.65,1.24,54.90,52.53,,,X  /
512437,Apollo Finvest (india) Ltd.,518.60,-1.75,-0.34,537.90,503.95,,,X  /
512437,Apollo Finvest (india) Ltd.,518.60,-1.75,-0.34,537.90,503.95,,,X  /
508869,Apollo Hospitals Enterprise Ltd.,4975.00,-5.60,-0.11,4991.95,4953.70,,,A  / S&P BSE 100
508869,Apollo Hospitals Enterprise Ltd.,4975.00,-5.60,-0.11,4991.95,4953.70,,,A  / S&P BSE 100
500877,Apollo Tyres Ltd.,378.65,-4.80,-1.25,383.40,371.80,,,A  / S&P BSE 500
500877,Apollo Tyres Ltd.,378.65,-4.80,-1.25,383.40,371.80,,,A  / S&P BSE 500
500014,Apple Finance Ltd.,6.12,0.38,6.62,6.33,5.51,,,X  /
500014,Apple Finance Ltd.,6.12,0.38,6.62,6.33,5.51,,,X  /
532475,Aptech Ltd.,308.05,0.65,0.21,312.40,307.05,,,B  / S&P BSE SmallCap
532475,Aptech Ltd.,308.05,0.65,0.21,312.40,307.05,,,B  / S&P BSE SmallCap
531364,Aqua Pumps Infra Ventures Limited,61.50,0.00,0.00,61.50,61.50,,,X  /
531364,Aqua Pumps Infra Ventures Limited,61.50,0.00,0.00,61.50,61.50,,,X  /
512344,Aravali Securities & Finance Ltd.,3.40,-0.17,-4.76,3.50,3.40,,,X  /
512344,Aravali Securities & Finance Ltd.,3.40,-0.17,-4.76,3.50,3.40,,,X  /
520121,Arcee Industries Ltd.,6.30,0.04,0.64,6.57,6.26,,,X  /
520121,Arcee Industries Ltd.,6.30,0.04,0.64,6.57,6.26,,,X  /
530565,Archana Software Ltd.,12.43,0.24,1.97,12.43,12.43,,,XT /
530565,Archana Software Ltd.,12.43,0.24,1.97,12.43,12.43,,,XT /
532994,Archidply Industries Ltd.,69.00,1.85,2.76,69.00,69.00,,,T  /
532994,Archidply Industries Ltd.,69.00,1.85,2.76,69.00,69.00,,,T  /
532212,Archies Ltd.,28.90,0.45,1.58,28.90,28.90,,,T  /
532212,Archies Ltd.,28.90,0.45,1.58,28.90,28.90,,,T  /
524640,Archit Organosys Ltd.,60.16,-0.02,-0.03,61.00,59.25,,,X  /
524640,Archit Organosys Ltd.,60.16,-0.02,-0.03,61.00,59.25,,,X  /
526851,Arex Industries Ltd.,121.90,1.90,1.58,123.00,121.90,,,X  /
539151,Arfin India Ltd,40.40,1.58,4.07,40.50,38.82,,,XT /
526851,Arex Industries Ltd.,121.90,1.90,1.58,123.00,121.90,,,X  /
539151,Arfin India Ltd,40.40,1.58,4.07,40.50,38.82,,,XT /
532935,Aries Agro Ltd.,183.35,1.80,0.99,186.20,182.05,,,B  /
531553,Arihant Avenues & Credit Ltd.,9.37,0.18,1.96,9.37,9.03,,,XT /
532935,Aries Agro Ltd.,183.35,1.80,0.99,186.20,182.05,,,B  /
511605,Arihant Capital Markets Ltd.,60.30,-0.96,-1.57,62.15,59.30,,,B  / S&P BSE SmallCap
531553,Arihant Avenues & Credit Ltd.,9.37,0.18,1.96,9.37,9.03,,,XT /
511605,Arihant Capital Markets Ltd.,60.30,-0.96,-1.57,62.15,59.30,,,B  / S&P BSE SmallCap
531381,Arihant Foundations & Housing Ltd.-$,53.50,1.33,2.55,54.30,53.50,,,XT /
531381,Arihant Foundations & Housing Ltd.-$,53.50,1.33,2.55,54.30,53.50,,,XT /
506194,Arihant Superstructures Limited,169.65,-3.00,-1.74,174.10,169.65,,,B  / S&P BSE SmallCap
506194,Arihant Superstructures Limited,169.65,-3.00,-1.74,174.10,169.65,,,B  / S&P BSE SmallCap
526125,Arihant Tournesol Ltd.,56.32,0.00,0.00,56.32,56.32,,,XT /
526125,Arihant Tournesol Ltd.,56.32,0.00,0.00,56.32,56.32,,,XT /
531017,Arihant's Securities Ltd.,14.94,0.03,0.20,14.99,14.89,,,XT /
